Block_ID Grid_point_ID Pos_x Pos_y Pos_z Disp_x Disp_y Disp_z
1 1 0 0 0 0.033716 0.435235 -0.266519
1 2 2 0 0 0.033716 0.447149 -0.24793
1 3 2 4 0 0.00988694 0.447149 -0.0726528
1 4 0 4 0 0.00988697 0.435235 -0.0912414
1 5 0 0 4 -0.00346118 0.259958 -0.266519
1 6 2 0 4 -0.00346121 0.271872 -0.247931
1 7 0 4 4 -0.0272902 0.259957 -0.0912419
1 8 2 4 4 -0.0272903 0.271872 -0.0726532
2 9 0 0 4 0 0 0
2 10 2 0 4 0 0 0
2 11 2 4 4 0 0 0
2 12 0 4 4 0 0 0
2 13 0 0 8 0 0 0
2 14 2 0 8 0 0 0
2 15 0 4 8 0 0 0
2 16 2 4 8 0 0 0
3 17 2 0 0 0.0617774 0.0962182 0.018369
3 18 4 0 0 0.0617773 0.0709322 -0.037408
3 19 4 4 0 0.112349 0.0709321 -0.125596
3 20 2 4 0 0.112349 0.0962181 -0.0698191
3 21 2 0 4 0.173332 0.184406 0.0183688
3 22 4 0 4 0.173332 0.15912 -0.0374083
3 23 2 4 4 0.223903 0.184406 -0.0698194
3 24 4 4 4 0.223903 0.15912 -0.125596
3 25 3 4 4 0.223903 0.171763 -0.0977079
3 26 2 4 2 0.168126 0.140312 -0.0698192
3 27 3 4 0 0.112349 0.0835751 -0.0977077
3 28 4 4 2 0.168126 0.115026 -0.125596
3 29 4 2 0 0.0870632 0.0709321 -0.0815021
3 30 4 0 2 0.117554 0.115026 -0.0374082
3 31 4 2 4 0.198617 0.15912 -0.0815024
3 32 3 0 4 0.173332 0.171763 -0.00951976
3 33 2 2 4 0.198618 0.184406 -0.0257253
3 34 2 2 0 0.0870633 0.0962182 -0.025725
3 35 2 0 2 0.117554 0.140312 0.0183689
3 36 3 0 0 0.0617773 0.0835752 -0.00951951
3 37 3 4 2 0.168126 0.127669 -0.0977078
3 38 4 2 2 0.14284 0.115026 -0.0815022
3 39 3 2 4 0.198618 0.171763 -0.0536138
3 40 2 2 2 0.14284 0.140312 -0.0257252
3 41 3 0 2 0.117554 0.127669 -0.00951963
3 42 3 2 0 0.0870632 0.0835751 -0.0536136
2 43 1 4 8 0 0 0
2 44 0 4 6 0 0 0
2 45 1 4 4 0 0 0
2 46 2 4 6 0 0 0
2 47 2 2 4 0 0 0
2 48 2 0 6 0 0 0
2 49 2 2 8 0 0 0
2 50 1 0 8 0 0 0
2 51 0 2 8 0 0 0
2 52 0 2 4 0 0 0
2 53 0 0 6 0 0 0
2 54 1 0 4 0 0 0
2 55 1 4 6 0 0 0
2 56 2 2 6 0 0 0
2 57 1 2 8 0 0 0
2 58 0 2 6 0 0 0
2 59 1 0 6 0 0 0
2 60 1 2 4 0 0 0
1 61 1 4 4 -0.0272902 0.265915 -0.0819475
1 62 0 4 2 -0.00870163 0.347596 -0.0912416
1 63 1 4 0 0.00988696 0.441192 -0.0819471
1 64 2 4 2 -0.00870166 0.35951 -0.072653
1 65 2 2 0 0.0218015 0.447149 -0.160291
1 66 2 0 2 0.0151274 0.359511 -0.24793
1 67 2 2 4 -0.0153757 0.271872 -0.160292
1 68 1 0 4 -0.0034612 0.265915 -0.257225
1 69 0 2 4 -0.0153757 0.259957 -0.178881
1 70 0 2 0 0.0218015 0.435235 -0.17888
1 71 0 0 2 0.0151274 0.347596 -0.266519
1 72 1 0 0 0.033716 0.441192 -0.257224
1 73 1 4 2 -0.00870164 0.353553 -0.0819473
1 74 2 2 2 0.00321287 0.359511 -0.160292
1 75 1 2 4 -0.0153757 0.265915 -0.169586
1 76 0 2 2 0.00321289 0.347596 -0.17888
1 77 1 0 2 0.0151274 0.353554 -0.257225
1 78 1 2 0 0.0218015 0.441192 -0.169586
